GENESIS-Tabelle: 51000-22i
Aus- und Einfuhr nach Gruppen (247) des;;;;;;
Güterverzeichnisses der Produktionsstatistiken GP 2019;;;;;;
- Land - Jahr (ab 2008);;;;;;
Außenhandel;;;;;;
Nordrhein-Westfalen;;;;;;
;;;Ausfuhr: Gewicht;Ausfuhr;Einfuhr: Gewicht;Einfuhr
;;;t;Tsd. EUR;t;Tsd. EUR
2013;2052;Klebstoffe;160447;354439;52290;184967
2013;2053;Etherische Öle;15901;195411;14866;161659
2013;2059;Sonstige chemische Erzeugnisse, a.n.g.;1530076;3322275;1011873;2924757
2013;2060;Chemiefasern;114306;347040;179364;451816
2013;2110;Pharmazeutische Grundstoffe u.ä. Erzeugnisse;77142;776953;90897;490070
2013;2120;Pharmazeutische Spezialitäten u. pharmaz. Erzeugn.;57393;6054607;56035;4749561
2013;2211;Herstellung und Runderneuerung von Bereifungen;93121;607239;162035;595994
2013;2219;Andere Gummiwaren (ohne Bereifungen);140310;1173852;153402;1013942
2013;2221;Platten,Folien, Schläuche u. Profile aus Kunststo.;608295;2427259;363241;1269254
2013;2222;Verpackungsmittel aus Kunststoffen;251302;867996;312049;698651
2013;2223;Baubedarfsartikel aus Kunststoffen;75040;369541;161628;352238
2013;2229;Sonstige Kunststoffwaren;253827;1814005;248369;1411285
2013;2311;Flachglas (ohne veredeltes u. bearbeit. Flachglas);442015;202177;122824;56995
2013;2312;Veredeltes und bearbeitetes Flachglas;154883;348479;148915;347855
2013;2313;Hohlglas;193047;152489;95071;158561
2013;2314;Glasfasern und Waren daraus;18845;67630;131598;187982
2013;2319;Sonstiges Glas (einschl. technischer Glaswaren);7507;35163;28610;71358
2013;2320;Feuerfeste keramische Werkstoffe;333992;345275;106675;125924
2013;2331;Keramische Wand-, Bodenfliesen und -platten;47284;27881;221963;131092
2013;2332;Ziegel und sonstige Baukeramik;377038;95991;97881;20729
2013;2341;Keramische Haushaltswaren und Ziergegenstände;18258;35976;58540;129962
2013;2342;Sanitärkeramik;5137;18943;25673;52377
2013;2343;Isolatoren und Isolierteile aus Keramik;636;9980;1477;8373
2013;2344;Keramische Waren für sonstige technische Zwecke;3370;68109;3483;58376
2013;2349;Andere keramische Waren, a.n.g.;9802;19961;14293;20151
2013;2351;Zement;2707441;202384;261754;62945
2013;2352;Kalk und gebrannter Gips;876455;75233;237486;26466
2013;2361;Erzeugnisse a. Beton,Zement u.Kalksandstein f. Bau;813092;89984;174188;35058
2013;2362;Gipserzeugnisse für den Bau;72571;13290;70277;12860
2013;2363;Frischbeton (Transportbeton);190483;6542;1190;61
2013;2364;Mörtel und anderer Beton, nicht feuerfest;254815;96175;11376;2798
2013;2365;Faserzementwaren;34673;28889;8742;8459
2013;2369;Erzeugnisse aus Beton, Zement und Gips, a.n.g.;183587;42714;42663;25135
2013;2370;Bearbeitete u. verarb. Naturwerk- u. Natursteine;36729;13923;405169;143270
2013;2391;Mühl-,Mahl-,Schleif-,Wetz- u. Poliersteine;12301;153278;20124;203716
2013;2399;Sonstige Erzeugn. aus nichtmet. Mineralien, a.n.g.;258115;458092;219835;352400
2013;2410;Roheisen, Stahl und Ferrolegierungen;6403242;5596970;9486569;7989930
2013;2420;Stahlrohre,Rohrform-,-verschluss- u.-verbind.stück;2087082;3930563;960864;1369686
2013;2431;Blankstahl;209652;397214;279998;488196
2013;2432;Kaltband, Breite<600mm;1112101;1354929;325826;429673
2013;2433;Kaltprofile;110219;180537;101009;184652
2013;2434;Kaltgezogener Draht;212485;378121;209311;309596
2013;2441;Edelmetalle und Halbzeug daraus;121;63254;94;100996
2013;2442;Aluminium und Halbzeug daraus;1168406;3294132;2223437;3374684
2013;2443;Blei, Zink und Zinn und Halbzeug daraus;161391;368971;325005;687826
2013;2444;Kupfer und Halbzeug daraus;321897;2262597;347312;2042617
2013;2445;Sonstige NE-Metalle und Halbzeug daraus;56357;780410;112542;1170954
2013;2446;Kernbrennstoffe;25;1484;6958;463170
2013;2451;Eisengießereierzeugnisse;3168;13834;19283;39756
2013;2452;Stahlgießereierzeugnisse;1042;14070;1539;16994
2013;2511;Metallkonstruktionen;357695;929090;241330;554138
2013;2512;Ausbauelemente aus Stahl und Aluminium;47812;286399;38706;110949
2013;2521;Heizkörper u. -kessel für Zentralheizungen, Teile;21783;234011;34104;263428
2013;2529;Sonstige Metallbehälter, Fassungsvermögen>300l;43384;150896;26052;67791
2013;2530;Dampfkessel (-erzeuger), Kernreaktoren, Teile;8910;88407;5844;37504
2013;2540;Waffen und Munition, Teile dafür;1459;105549;2151;39835
2013;2571;Schneidwaren und Bestecke, aus unedlen Metallen;9471;281469;18405;230211
2013;2572;Schlösser und Beschläge, aus unedlen Metallen;254522;1965528;169802;942928
2013;2573;Werkzeuge;55447;1332786;71938;984859
2013;2591;Metallbehälter, Fassungsvermögen<=300l;49670;161719;15340;40949
2013;2592;Verpackungen und Verschlüsse, aus Eisen, Stahl;58742;356544;17239;81767
2013;2593;Drahtwaren, Ketten und Federn;292884;925036;308671;412305
2013;2594;Schrauben und Nieten;235477;1242655;260963;773337
2013;2599;Andere Metallwaren, a.n.g.;534063;2103968;424057;1669034
2013;2611;Elektronische Bauelemente;12044;858868;29115;1556823
2013;2612;Bestückte Leiterplatten;1424;167418;4888;307927
2013;2620;Datenverarbeitungsgeräte und periphere Geräte;51107;1594458;155247;5876749
2013;2630;Geräte u. Einricht. d. Telekommunikationstechnik;7849;534867;20825;3446374
2013;2640;Geräte der Unterhaltungselektronik;13742;613032;67578;1714119
2013;2651;Mess-,Kontroll-,Navigations- u.ä. Instr. u. Vorr.;23895;2616977;25333;2101073
2013;2652;Uhren;252;74955;3783;396072
2013;2660;Bestrahlungs-,Elektrotherapie-,elektromed. Geräte;1085;203430;3578;493814
2013;2670;Optische und fotografische Instrumente und Geräte;2514;401321;5911;882468
2013;2680;Magnetische und optische Datenträger;10566;99215;15218;127973
2013;2711;Elektromotoren,Generatoren,Transformatoren,Teile;96257;1717179;147479;1690543
2013;2712;Elektrizitätsverteilungs- und -schalteinrichtungen;44368;2043218;34505;1100500
2013;2720;Akkumulatoren und Batterien;50137;220799;57912;287583
2013;2731;Glasfaserkabel;7028;62871;2573;48249
2013;2732;Sonstige elektronische und elektrische Kabel;116506;1026427;130865;747226
2013;2733;Elektrisches Installationsmaterial;48377;1612208;32255;840629
2013;2740;Elektrische Lampen und Leuchten;27890;1187553;112043;1309947
2013;2751;Elektrische Haushaltsgeräte, Teile dafür;136918;1374898;265160;1506816
2013;2752;Nicht elektrische Haushaltsgeräte, Teile dafür;12204;88735;30880;140452
2013;2790;Sonstige elektr. Ausrüstungen und Geräte a.n.g.;63455;873066;75937;760128
2013;2811;Verbrennungsmotoren und Turbinen;311633;2569614;76673;794822
2013;2812;Hydraulische, pneumatische Komponenten und Systeme;20193;533545;17374;307184
2013;2813;Sonstige Pumpen und Kompressoren;117823;2627608;92172;1016328
2013;2814;Armaturen;71275;1880805;87808;1104056
2013;2815;Lager, Getriebe, Zahnräder und Antriebselemente;223272;2706456;167157;1279017
2013;2821;Öfen und Brenner, Teile dafür;32378;614689;18618;172485
2013;2822;Hebezeuge und Fördermittel;211269;1821739;121867;672355
2013;2823;Büromaschinen;11874;418572;53573;2279497
2013;2824;Handgeführte, kraftbetrieb. Werkzeuge, Teile dafür;2503;128232;17225;288551
2013;2825;Kälte- u. lufttechn. Erzeugn. für gewerbl. Zwecke;71017;1090199;93216;1275155
2013;2829;Sonstige nicht wirtschaftszweigspezif. Maschinen;136484;3083776;79334;992795
2013;2830;Maschinen für die Landwirtschaft, Forstwirtschaft;184697;1756712;90246;504601
2013;2841;Werkzeugmaschinen f.d. Metallbearbeitung, Teile;71067;1473357;41591;464026
2013;2849;Werkzeugmaschinen a.n.g., -teile, -zubehör;47006;719944;13344;152609
2013;2891;Masch. f.d. Metallerzg.,Walzwerkseinr., Gießmasch.;67817;621408;34044;190268
2013;2892;Bergwerks-, Bau- u. Baustoffmaschinen, Teile dafür;223702;2215445;173537;787305
2013;2893;Masch.f.Nahrungs-,Futterm.-,Getränkeh.,Tabakv., T.;15107;419860;8725;137251
2013;2894;Masch. f.Textil-,Bekleidungsh.,Ledererzg.,-verarb.;73053;1177060;32501;303667
2013;2895;Maschinen f.d. Papiererzeugung und -verarbeitung;16052;449201;5634;72267
2013;2896;Maschinen f. Kunststo.-,Gummierzeug.,-verarbeitung;33759;945059;10362;163307
2013;2899;Maschinen f. sonst. best. Wirtschaftszweige a.n.g.;126997;2289036;71348;861553
2013;2910;Kraftwagen und Kraftwagenmotoren;875119;7432260;1027899;10290883
2013;2920;Karosserien, Aufbauten und Anhänger;354066;1536628;212577;587157
2013;2931;Elektr.,elektron. Ausrüstungen für Motoren a.n.g.;18429;325414;51151;802932
2013;2932;Andere Teile und anderes Zubehör für Kraftwagen;1198749;7072402;713843;4264475
2013;3011;Schiffe (ohne Boote und Yachten);3706;17602;111840;256045
2013;3012;Boote und Yachten;282;6855;1173;14178
2013;3020;Schienenfahrzeuge;103502;1208784;61052;344969
2013;3030;Luft- und Raumfahrzeuge;4490;392770;1134;399134
2013;3040;Militärische Kampffahrzeuge;1;88;-;-
2013;3091;Krafträder;2183;48112;5641;112799
2013;3092;Fahrräder und Behindertenfahrzeuge;9113;97298;35605;414751
2013;3099;Fahrzeuge, a.n.g.;6815;29690;9698;24979
2013;3100;Sitzmöbel und Teile dafür, Teile für Möbel;182689;608913;547934;1650681
2013;3101;Büromöbel, Ladenmöbel aus Holz;25495;148912;41511;99388
2013;3102;Küchenmöbel aus Holz;205423;966602;32755;43169
2013;3103;Matratzen;8836;45208;25111;131913
2013;3109;Sonstige Möbel;90819;406556;418030;773004
2013;3511;Elektrischer Strom;0;1267995;0;269753
2013;3521;Industriell erzeugte Gase;-;-;-;-
2013;8900;Sonstige Waren;7334653;10229453;8851572;15230750
2013;8988;Sperrungen in der Außenhandelsstatistik;-;-;-;-
2013;;Insgesamt;95430842;178805950;181536663;205641967
2012;0111;Getreide (ohne Reis), Hülsenfrüchte und Ölsaaten;823363;227056;4035119;1659508
2012;0112;Reis;-;-;4734;3203
2012;0113;Gemüse und Melonen sowie Wurzeln und Knollen;1188950;169242;1907818;1228492
2012;0114;Zuckerrohr;-;-;0;1
2012;0115;Tabak;74;223;777;35773
2012;0116;Faserpflanzen;51;48;17212;20901
2012;0119;Sonstige einjährige Pflanzen;51959;94332;114809;410971
2012;0121;Wein- und Tafeltrauben;1119;1982;63865;111645
2012;0122;Tropische und subtropische Früchte;-;-;147497;138618
2012;0123;Zitrusfrüchte;-;-;363970;264516
2012;0124;Kern- und Steinobst;6594;10295;261078;275630
2012;0125;Sonstiges Baum- und Strauchobst und Nüsse;5551;23146;137880;419730
2012;0126;Ölhaltige Früchte;226;684;2201;2659
2012;0127;Pflanzen zur Herstellung von Getränken;-;-;36382;98278
2012;0128;Gewürzpflanzen, Pflanzen für z.B. pharmaz. Zwecke;1303;11209;14499;43195
2012;0129;Sonstige mehrjährige Pflanzen;5531;6538;51767;48318
2012;0130;Baumschulerzeugnisse,Pflanzen z.Vermehrungszweck.;122512;290665;406312;626577
2012;0141;Kühe und Färsen, lebend;7478;24546;2609;8058
2012;0142;Sonstige Rinder und Büffel, lebend, Sperma;13497;47380;2916;14041
2012;0143;Pferde und Esel, lebend;629;25599;207;4132
2012;0144;Kamele und Kamelartige, lebend;-;-;-;-
2012;0145;Schafe und Ziegen, lebend;6;15;73;146
2012;0146;Schweine, lebend;47682;93600;312287;530809
2012;0147;Geflügel, lebend, sowie Eier;232510;223881;175158;270484
2012;0149;Sonstige Nutztiere und tierische Erzeugnisse;1846;8550;2542;12152
2012;0210;Waldbestand sowie Erzeugnisse von Forstbaumschulen;1239;2955;2742;3555
2012;0220;Rohholz;311446;27493;432046;51190
2012;0230;Wildwachsende Produkte (ohne Holz);5677;17920;19036;53532
2012;0300;Fische u. Fischereierzeugnisse, Aquakulturerzeug.;1472;9540;10980;45191
2012;0510;Steinkohle;182033;37130;17811633;2158194
2012;0520;Braunkohle;612841;52235;75;6
2012;0610;Erdöl;-;-;25002819;16062858
2012;0620;Erdgas, verflüssigt oder gasförmig;-;-;14707782;5738616
2012;0710;Eisenerze;31945;1644;20154070;2104418
2012;0721;Uran- und Thoriumerze;-;-;0;0
2012;0729;NE-Metallerze (ohne Uran- und Thoriumerze);120822;42569;960246;747405
2012;0811;Natur-,-werk-, Kalk-, Gipssteine, Kreide, Schiefer;180038;15318;757689;22235
2012;0812;Kies, Sand, Ton und Kaolin;15321244;151802;1673052;149099
2012;0891;Chemische und Düngemittelminerale;221862;34125;597875;92520
2012;0892;Torf;26891;5044;104872;9270
2012;0893;Salz, reines Natriumchlorid (ohne Speisesalz);402633;26639;1628961;67903
2012;0899;Steine, Erden, a.n.g., sonstige Bergbauerzeugnisse;582020;28567;622336;139015
2012;1011;Fleisch (ohne Geflügel);1352958;2511301;626046;1450687
2012;1012;Geflügelfleisch;46955;63652;167961;392838
2012;1013;Verarbeitetes Fleisch;266146;757570;146855;461307
2012;1020;Fischerzeugnisse und andere Meeresfrüchte;24566;132110;84248;407125
2012;1031;Verarbeitete Kartoffeln und Kartoffelerzeugnisse;77454;64954;132039;113018
2012;1032;Frucht- u.Gemüsesäfte,n. gegoren,oh. Alkoholzusatz;265746;188025;293050;335850
2012;1039;Verarbeitetes Obst und Gemüse, a.n.g.;217717;398505;706614;832539
2012;1041;Öle und Fette (ohne Margarine und Nahrungsfette);1667692;832738;1578972;1007373
2012;1042;Margarine und Nahrungsfette;83514;106766;35035;49687
2012;1051;Milch und Milcherzeugnisse (ohne Speiseeis);706057;560533;605185;1278987
2012;1052;Speiseeis;69484;176691;28748;71153
2012;1061;Mahlerzeugnisse und Schälmühlenerzeugnisse;475598;210739;341508;208313
2012;1062;Stärke und Stärkeerzeugnisse;762742;294201;747694;353079
2012;1071;Backwaren (ohne Dauerbackwaren);154433;279595;74657;146062
2012;1072;Dauerbackwaren;146841;359772;120090;299458
2012;1073;Teigwaren;2377;3663;55757;51318
2012;1081;Zucker;320474;138049;272263;150050
2012;1082;Süßwaren (ohne Dauerbackwaren);282699;982721;217264;724255
2012;1083;Kaffee und Tee, Kaffee-Ersatz;38849;286582;35782;319700
2012;1084;Würzen und Soßen;98781;96819;80247;115058
2012;1085;Fertiggerichte;100887;271864;80303;215332
2012;1086;Homogenisierte Nahrungsmittelzubereitungen;14232;85887;5271;13853
2012;1089;Sonstige Nahrungsmittel, a.n.g.;144294;260410;73054;266777
2012;1091;Futtermittel für Nutztiere;445583;161852;706065;288551
2012;1092;Futtermittel für sonstige Tiere, zubereitet;158224;232775;213740;272462
2012;1101;Spirituosen;5171;13518;69359;263871
2012;1102;Traubenwein;7507;13660;194622;387531
2012;1103;Apfelwein u. Fruchtweine, alkoholh. Mischgetränke;5097;3852;4246;4169
2012;1104;Wermutwein und andere aromatisierte Weine;98;275;3268;3364
2012;1105;Bier;188484;97037;80331;44970
2012;1106;Malz;86201;38246;91646;34013
2012;1107;Erfrischungsgetränke, natürliches Mineralwasser;2257547;216148;122668;90251
2012;1200;Tabakerzeugnisse;2406;115776;13510;184897
2012;1310;Textile Spinnstoffe und Garne;24631;59129;68062;198379
2012;1320;Gewebe;50215;489596;73574;576908
2012;1391;Gewirke und Gestricke;14189;157562;16223;100484
2012;1392;Konfektionierte Textilwaren (ohne Bekleidung);30305;283119;199167;1319139
2012;1393;Teppiche und textile Fußbodenbeläge;16276;91026;74323;273051
2012;1394;Seilerwaren;4771;23870;13854;28533
2012;1395;Vliesstoffe und Vliesstofferzeugnisse;90953;467920;51762;184639
2012;1396;Technische Textilien;29317;441818;32591;310345
2012;1399;Sonstige Textilwaren, a.n.g.;14533;47718;4080;35387
2012;1411;Bekleidung aus Leder oder rekonstituiertem Leder;133;9192;1541;83731
2012;1412;Arbeitsbekleidung und Berufsbekleidung;318;10193;6780;112753
2012;1413;Sonstige Oberbekleidung;66576;302486;116085;2911133
2012;1414;Wäsche;5624;174191;91599;2034018
2012;1419;Bekleidung und Bekleidungszubehör, a.n.g.;4778;104051;43895;782564
2012;1420;Pelzwaren;5;2603;262;11578
2012;1431;Strumpfwaren;3813;101400;22629;330966
2012;1439;Bekleidung a.n.g., aus Gewirken oder Gestricken;2025;63804;36901;925765
2012;1511;Leder u. -faserstoff, zuger. u. gefärbte Felle;4597;106686;7188;110080
2012;1512;Lederwaren (ohne Lederbekleidung und Schuhe);6643;117461;43055;557265
2012;1520;Schuhe;5733;190765;88147;1613841
2012;1610;Holz, gesägt und gehobelt;476396;146339;530546;185720
2012;1621;Furnier-, Sperrholz-, Holzfaser-, Holzspanplatten;644376;482864;812185;398523
2012;1622;Parkettböden;3397;11522;24775;61917
2012;1623;Holzkonstruktionen, -bauteile, -fertigteilbauten;30519;92286;44083;75642
2012;1624;Holzverpackungen, Holzbehälter, Holzladungsträger;79677;31987;242855;83634
2012;1629;Holzwaren a.n.g., Kork-, Flecht-, Korbmacherwaren;16507;42838;192769;285471
2012;1711;Holz- und Zellstoff;226927;102640;707043;366851
2012;1712;Papier und Pappe;2475952;1990018;2058515;1628725
2012;1721;Wellpapier und -pappe, Verpackungsmittel;435331;780863;108568;194833
2012;1722;Haushalts-, Hygiene- und Toilettenartikel;240684;515142;165205;356847
2012;1723;Schreibwaren u. Bürobedarf aus Papier,Karton,Pappe;33746;81972;35974;111275
2012;1724;Tapeten;28114;116602;3195;17988
2012;1729;Andere Waren aus Papier, Karton und Pappe;42646;147919;50629;170635
2012;1910;Kokereierzeugnisse;447246;155096;1226755;333379
2012;1920;Mineralölerzeugnisse;5374702;3546758;14520753;10667075
2012;2011;Industriegase;176662;36180;218697;67689
2012;2012;Farbstoffe und Pigmente;635341;1285018;200848;527448
2012;2013;Sonstige anorganische Grundstoffe und Chemikalien;2688746;1999655;1365421;822709
2012;2014;Sonstige organische Grundstoffe und Chemikalien;6624563;9925876;4965742;6277231
2012;2015;Düngemittel und Stickstoffverbindungen;557128;203663;840990;239030
2012;2016;Kunststoffe, in Primärformen;4521407;8049696;2209225;3759152
2012;2017;Synthetischer Kautschuk, in Primärformen;396061;881739;83956;253005
2012;2020;Schädlingsbekämpfungs- und Pflanzenschutzmittel;64622;629450;45240;387892
2012;2030;Anstrichmittel, Druckfarben und Kitte;638377;1687608;222740;579078
2012;2041;Seifen, Wasch-, Reinigungs- und Poliermittel;732137;1282106;445590;663663
2012;2042;Körperpflegemittel und Duftstoffe;131047;597790;68029;641940
2012;2051;Pyrotechnische Erzeugnisse;9059;36609;11642;38300
2012;2052;Klebstoffe;166585;358564;63317;213777
2012;2053;Etherische Öle;16019;188684;15236;166802
2012;2059;Sonstige chemische Erzeugnisse, a.n.g.;1550342;3278465;1003837;2930681
2012;2060;Chemiefasern;110867;348803;172198;407649
2012;2110;Pharmazeutische Grundstoffe u.ä. Erzeugnisse;66103;771150;80234;462313
2012;2120;Pharmazeutische Spezialitäten u. pharmaz. Erzeugn.;52419;4868863;61641;4609016
2012;2211;Herstellung und Runderneuerung von Bereifungen;87470;571549;148016;593337
2012;2219;Andere Gummiwaren (ohne Bereifungen);135450;1149023;138412;942252
2012;2221;Platten,Folien, Schläuche u. Profile aus Kunststo.;609451;2391730;365743;1261085
2012;2222;Verpackungsmittel aus Kunststoffen;259170;857719;317019;678923
2012;2223;Baubedarfsartikel aus Kunststoffen;74813;368393;147471;344059
2012;2229;Sonstige Kunststoffwaren;246765;1735575;251188;1414840
2012;2311;Flachglas (ohne veredeltes u. bearbeit. Flachglas);321848;152107;136348;59710
2012;2312;Veredeltes und bearbeitetes Flachglas;158889;342351;135958;310420
2012;2313;Hohlglas;198632;164504;103028;162110
2012;2314;Glasfasern und Waren daraus;19066;57361;122687;190345
2012;2319;Sonstiges Glas (einschl. technischer Glaswaren);6833;33137;21718;67807
2012;2320;Feuerfeste keramische Werkstoffe;349587;350604;130617;144996
2012;2331;Keramische Wand-, Bodenfliesen und -platten;54010;31424;207571;119102
2012;2332;Ziegel und sonstige Baukeramik;425852;90574;94635;18473
2012;2341;Keramische Haushaltswaren und Ziergegenstände;12795;29466;75114;156517
2012;2342;Sanitärkeramik;5655;19196;26920;50197
2012;2343;Isolatoren und Isolierteile aus Keramik;382;6659;1638;13803
2012;2344;Keramische Waren für sonstige technische Zwecke;3220;76014;2528;46847
2012;2349;Andere keramische Waren, a.n.g.;12196;19933;15438;20041
2012;2351;Zement;3236093;237056;267297;62325
2012;2352;Kalk und gebrannter Gips;801382;62990;310566;31695
2012;2361;Erzeugnisse a. Beton,Zement u.Kalksandstein f. Bau;794134;94252;237746;45717
2012;2362;Gipserzeugnisse für den Bau;77934;12899;51999;11201
2012;2363;Frischbeton (Transportbeton);152390;6819;3110;131
2012;2364;Mörtel und anderer Beton, nicht feuerfest;298151;93970;15746;3464
2012;2365;Faserzementwaren;37148;31163;9710;7306
2012;2369;Erzeugnisse aus Beton, Zement und Gips, a.n.g.;182450;41225;66094;28669
2012;2370;Bearbeitete u. verarb. Naturwerk- u. Natursteine;45128;14562;371149;140454
2012;2391;Mühl-,Mahl-,Schleif-,Wetz- u. Poliersteine;11813;141336;18411;202024
2012;2399;Sonstige Erzeugn. aus nichtmet. Mineralien, a.n.g.;282493;488444;233838;352265
2012;2410;Roheisen, Stahl und Ferrolegierungen;6550525;6155866;10063519;8827840
2012;2420;Stahlrohre,Rohrform-,-verschluss- u.-verbind.stück;2298511;4336272;1018881;1504340
2012;2431;Blankstahl;191076;402919;265787;538161
2012;2432;Kaltband, Breite<600mm;1097386;1392538;373888;491460
2012;2433;Kaltprofile;120215;207502;99244;188410
2012;2434;Kaltgezogener Draht;206901;378596;224048;332262
2012;2441;Edelmetalle und Halbzeug daraus;106;44418;126;99909
2012;2442;Aluminium und Halbzeug daraus;1148687;3350777;1974920;3656569
2012;2443;Blei, Zink und Zinn und Halbzeug daraus;161362;367128;357243;761717
2012;2444;Kupfer und Halbzeug daraus;343520;2557443;340358;2202150
2012;2445;Sonstige NE-Metalle und Halbzeug daraus;62166;881613;136158;1596544
2012;2446;Kernbrennstoffe;147;11516;5799;386494
2012;2451;Eisengießereierzeugnisse;3743;16198;25119;53383
2012;2452;Stahlgießereierzeugnisse;852;12654;1519;17535
2012;2511;Metallkonstruktionen;366498;949234;260422;565771
2012;2512;Ausbauelemente aus Stahl und Aluminium;51184;303877;33699;112563
2012;2521;Heizkörper u. -kessel für Zentralheizungen, Teile;26531;258747;40291;261870
2012;2529;Sonstige Metallbehälter, Fassungsvermögen>300l;44392;156689;30417;76937
2012;2530;Dampfkessel (-erzeuger), Kernreaktoren, Teile;6456;100435;5070;36873
2012;2540;Waffen und Munition, Teile dafür;1176;88893;2610;41684
2012;2571;Schneidwaren und Bestecke, aus unedlen Metallen;9764;273116;17601;212531
2012;2572;Schlösser und Beschläge, aus unedlen Metallen;252615;1961187;170515;942608
2012;2573;Werkzeuge;59971;1374202;79227;1050120
2012;2591;Metallbehälter, Fassungsvermögen<=300l;48367;158555;14875;41925
2012;2592;Verpackungen und Verschlüsse, aus Eisen, Stahl;74005;418146;25437;101689
2012;2593;Drahtwaren, Ketten und Federn;315575;942184;275702;432216
2012;2594;Schrauben und Nieten;241476;1253930;254446;780996
2012;2599;Andere Metallwaren, a.n.g.;535571;2109599;423743;1688570
2012;2611;Elektronische Bauelemente;22918;819252;53172;1844745
2012;2612;Bestückte Leiterplatten;1600;178040;4825;287019
2012;2620;Datenverarbeitungsgeräte und periphere Geräte;55473;1681284;99608;4934289
2012;2630;Geräte u. Einricht. d. Telekommunikationstechnik;10415;1007135;28495;4622587
2012;2640;Geräte der Unterhaltungselektronik;17767;690127;97550;2287393
2012;2651;Mess-,Kontroll-,Navigations- u.ä. Instr. u. Vorr.;25103;2560207;24289;2109058
2012;2652;Uhren;275;68010;3450;412877
2012;2660;Bestrahlungs-,Elektrotherapie-,elektromed. Geräte;1876;221859;3345;518433
2012;2670;Optische und fotografische Instrumente und Geräte;2148;355393;6572;1050908
2012;2680;Magnetische und optische Datenträger;14201;133653;12117;129843
2012;2711;Elektromotoren,Generatoren,Transformatoren,Teile;95253;1663309;149916;1644289
2012;2712;Elektrizitätsverteilungs- und -schalteinrichtungen;44253;2017968;36302;1183065
2012;2720;Akkumulatoren und Batterien;52265;225246;59190;288455
2012;2731;Glasfaserkabel;6619;59897;2726;47036
2012;2732;Sonstige elektronische und elektrische Kabel;126050;1108022;134153;772174
2012;2733;Elektrisches Installationsmaterial;49312;1616665;31892;806784
2012;2740;Elektrische Lampen und Leuchten;32701;1284947;110164;1233496
2012;2751;Elektrische Haushaltsgeräte, Teile dafür;130707;1257354;253581;1387600
2012;2752;Nicht elektrische Haushaltsgeräte, Teile dafür;12684;89360;30131;134369
2012;2790;Sonstige elektr. Ausrüstungen und Geräte a.n.g.;97469;911464;71978;828551
2012;2811;Verbrennungsmotoren und Turbinen;314974;2481189;68340;652739
2012;2812;Hydraulische, pneumatische Komponenten und Systeme;20843;563860;17997;295942
2012;2813;Sonstige Pumpen und Kompressoren;116392;2570873;77150;938770
2012;2814;Armaturen;71874;1845906;91655;1114650
2012;2815;Lager, Getriebe, Zahnräder und Antriebselemente;219730;2826436;178471;1343787
2012;2821;Öfen und Brenner, Teile dafür;30782;631103;15869;126216
2012;2822;Hebezeuge und Fördermittel;197134;1717456;128221;673394
2012;2823;Büromaschinen;13735;456618;27614;772113
2012;2824;Handgeführte, kraftbetrieb. Werkzeuge, Teile dafür;2448;121380;16425;273522
2012;2825;Kälte- u. lufttechn. Erzeugn. für gewerbl. Zwecke;76559;1127900;83431;1097178
2012;2829;Sonstige nicht wirtschaftszweigspezif. Maschinen;139346;3096205;82681;944612
2012;2830;Maschinen für die Landwirtschaft, Forstwirtschaft;188748;1697878;86371;480483
2012;2841;Werkzeugmaschinen f.d. Metallbearbeitung, Teile;86861;1615551;52506;582318
2012;2849;Werkzeugmaschinen a.n.g., -teile, -zubehör;51878;858669;10711;143360
2012;2891;Masch. f.d. Metallerzg.,Walzwerkseinr., Gießmasch.;68650;489877;33217;174654
2012;2892;Bergwerks-, Bau- u. Baustoffmaschinen, Teile dafür;280242;2647693;193174;827398
2012;2893;Masch.f.Nahrungs-,Futterm.-,Getränkeh.,Tabakv., T.;16431;416989;9483;148911
2012;2894;Masch. f.Textil-,Bekleidungsh.,Ledererzg.,-verarb.;80654;1300883;27003;279634
2012;2895;Maschinen f.d. Papiererzeugung und -verarbeitung;19501;483904;5770;82757
2012;2896;Maschinen f. Kunststo.-,Gummierzeug.,-verarbeitung;36761;920040;9546;160569
2012;2899;Maschinen f. sonst. best. Wirtschaftszweige a.n.g.;161770;2629860;84039;933760
2012;2910;Kraftwagen und Kraftwagenmotoren;930350;8320829;915847;9160714
2012;2920;Karosserien, Aufbauten und Anhänger;351471;1508024;207386;603089
2012;2931;Elektr.,elektron. Ausrüstungen für Motoren a.n.g.;20025;307398;47321;757867
2012;2932;Andere Teile und anderes Zubehör für Kraftwagen;1246254;7224814;652463;4483734
2012;3011;Schiffe (ohne Boote und Yachten);53927;94571;31246;92776
2012;3012;Boote und Yachten;251;6906;1087;11002
2012;3020;Schienenfahrzeuge;83090;902672;67628;356402
2012;3030;Luft- und Raumfahrzeuge;3459;345318;1442;523977
2012;3040;Militärische Kampffahrzeuge;-;-;-;-
2012;3091;Krafträder;1485;29990;6267;93225
2012;3092;Fahrräder und Behindertenfahrzeuge;9743;103195;37017;432153
2012;3099;Fahrzeuge, a.n.g.;7007;29532;10856;31484
2012;3100;Sitzmöbel und Teile dafür, Teile für Möbel;182645;644175;548070;1666064
2012;3101;Büromöbel, Ladenmöbel aus Holz;28492;160383;43297;96403
2012;3102;Küchenmöbel aus Holz;213074;966996;25151;34183
2012;3103;Matratzen;10778;49550;23892;134597
